entry_time,exit_time,direction,units,entry_price,exit_price,sl,tp,pnl,exit_reason,bars_held
2019-02-25 08:30:00+00:00,2019-02-25 11:30:00+00:00,-1,50.0,1329.0472604395143,1330.5432604395144,1330.5432604395144,1326.0552604395143,-78.30000000000473,SL,12
2019-02-25 14:45:00+00:00,2019-02-25 15:45:00+00:00,1,26.0,1331.4693887843978,1328.695388784398,1328.695388784398,1337.0173887843978,-73.94399999999706,SL,4
2019-02-25 16:45:00+00:00,2019-02-26 05:15:00+00:00,-1,23.0,1327.0264140208008,1329.2819736802908,1330.2074140208008,1320.664414020801,-53.487872168270414,TIME,50
2019-02-26 08:15:00+00:00,2019-02-26 10:00:00+00:00,-1,48.0,1325.3740582265211,1326.897058226521,1326.897058226521,1322.3280582265213,-76.46399999999572,SL,7
2019-02-26 10:00:00+00:00,2019-02-26 16:00:00+00:00,-1,40.0,1326.4752437764835,1328.3082437764833,1328.3082437764833,1322.8092437764835,-76.11999999999425,SL,24
2019-02-26 19:45:00+00:00,2019-02-27 08:00:00+00:00,1,28.000000000000004,1328.85261139702,1326.3306113970198,1326.3306113970198,1333.89661139702,-72.57600000000454,SL,49
2019-02-27 08:15:00+00:00,2019-02-27 08:45:00+00:00,-1,53.0,1325.8771393569473,1327.2141393569473,1327.2141393569473,1323.2031393569473,-74.57099999999942,SL,2
2019-02-27 08:45:00+00:00,2019-02-27 13:00:00+00:00,-1,53.0,1326.9937188636732,1328.3407188636731,1328.3407188636731,1324.2997188636732,-75.10099999999893,SL,17
2019-02-27 14:30:00+00:00,2019-02-27 16:30:00+00:00,-1,31.0,1324.900496140621,1320.392496140621,1327.154496140621,1320.392496140621,137.5780000000012,TP,8
2019-02-27 16:30:00+00:00,2019-02-28 05:00:00+00:00,-1,23.0,1321.3812920197577,1318.8542676498885,1324.3372920197578,1315.4692920197574,56.5115605069915,TIME,50
2019-02-28 08:15:00+00:00,2019-02-28 11:15:00+00:00,1,49.0,1323.021438651201,1325.9394386512008,1321.5624386512009,1325.9394386512008,139.55199999999473,TP,12
2019-02-28 11:15:00+00:00,2019-02-28 13:30:00+00:00,1,33.0,1325.2832276161328,1323.1032276161327,1323.1032276161327,1329.643227616133,-74.2500000000021,SL,9
2019-02-28 13:30:00+00:00,2019-02-28 13:45:00+00:00,1,30.0,1323.8094341419883,1321.4484341419884,1321.4484341419884,1328.5314341419883,-72.92999999999628,SL,1
2019-02-28 14:00:00+00:00,2019-02-28 15:15:00+00:00,-1,27.0,1320.9127276127822,1315.7227276127821,1323.5077276127822,1315.7227276127821,138.2400000000015,TP,5
2019-02-28 15:15:00+00:00,2019-03-01 04:45:00+00:00,-1,22.0,1316.7694541521298,1313.3556381725612,1319.9974541521299,1310.31345415213,73.56395155051037,TIME,50
2019-03-01 08:15:00+00:00,2019-03-01 10:00:00+00:00,-1,44.0,1307.13672368828,1308.79972368828,1308.79972368828,1303.8107236882802,-76.25200000000048,SL,7
2019-03-01 10:00:00+00:00,2019-03-01 10:15:00+00:00,-1,34.0,1307.9286833560088,1310.0876833560087,1310.0876833560087,1303.6106833560088,-75.78599999999585,SL,1
2019-03-01 10:15:00+00:00,2019-03-01 15:00:00+00:00,-1,31.0,1308.897419122599,1311.2114191225992,1311.2114191225992,1304.2694191225992,-73.90400000000243,SL,19
2019-03-01 16:15:00+00:00,2019-03-01 18:30:00+00:00,-1,19.0,1303.3914547403187,1296.0054547403188,1307.0844547403187,1296.0054547403188,139.00399999999937,TP,9
2019-03-01 18:30:00+00:00,2019-03-04 08:00:00+00:00,-1,16.0,1297.865293019756,1291.3639312112132,1302.1622930197561,1289.271293019756,102.90178893668678,TIME,50
2019-03-04 08:15:00+00:00,2019-03-04 08:30:00+00:00,-1,42.0,1291.2172161650292,1287.7872161650291,1292.932216165029,1287.7872161650291,141.12000000000268,TP,1
2019-03-04 08:30:00+00:00,2019-03-04 08:45:00+00:00,-1,38.0,1290.4830536129214,1286.6130536129212,1292.4180536129213,1286.6130536129212,144.4000000000045,TP,1
2019-03-04 08:45:00+00:00,2019-03-04 14:45:00+00:00,-1,35.0,1288.2303327899626,1284.0263327899627,1290.3323327899627,1284.0263327899627,144.6899999999983,TP,24
