entry_time,exit_time,direction,units,entry_price,exit_price,sl,tp,pnl,exit_reason,bars_held
2019-04-09 08:30:00+00:00,2019-04-09 12:15:00+00:00,1,42.0,1301.7427395604857,1305.2447395604859,1299.9917395604857,1305.2447395604859,144.14400000000757,TP,15
2019-04-09 12:15:00+00:00,2019-04-10 00:45:00+00:00,1,32.0,1302.3693887843976,1303.8264140208007,1300.0603887843977,1306.9873887843976,44.38480756489822,TIME,50
2019-04-10 08:15:00+00:00,2019-04-10 12:15:00+00:00,1,49.0,1303.8719736802907,1302.3149736802907,1302.3149736802907,1306.9859736802905,-79.72300000000081,SL,16
2019-04-10 12:45:00+00:00,2019-04-10 13:15:00+00:00,-1,39.0,1302.684058226521,1304.6220582265212,1304.6220582265212,1298.808058226521,-78.31200000000398,SL,2
2019-04-10 13:15:00+00:00,2019-04-10 13:30:00+00:00,-1,34.0,1302.5252437764834,1304.7082437764834,1304.7082437764834,1298.1592437764834,-76.60199999999975,SL,1
2019-04-10 14:30:00+00:00,2019-04-11 03:00:00+00:00,1,28.000000000000004,1306.82261139702,1306.7371393569472,1304.2016113970199,1312.06461139702,-4.353217122037641,TIME,50
2019-04-11 08:15:00+00:00,2019-04-11 11:15:00+00:00,-1,48.0,1304.6737188636732,1301.6297188636731,1306.1957188636732,1301.6297188636731,142.7520000000046,TP,12
2019-04-11 11:15:00+00:00,2019-04-11 12:00:00+00:00,-1,36.0,1302.690496140621,1298.6564961406211,1304.707496140621,1298.6564961406211,142.7039999999956,TP,3
2019-04-11 12:00:00+00:00,2019-04-11 12:30:00+00:00,-1,35.0,1300.9212920197576,1296.6252920197576,1303.0692920197575,1296.6252920197576,147.91000000000173,TP,2
2019-04-11 12:30:00+00:00,2019-04-11 15:30:00+00:00,-1,31.0,1298.9757323501115,1294.1777323501115,1301.3747323501116,1294.1777323501115,146.56800000000007,TP,12
2019-04-11 15:30:00+00:00,2019-04-12 04:00:00+00:00,-1,20.0,1294.8685613487992,1292.0132276161328,1298.6335613487993,1287.338561348799,55.7066746533279,TIME,50
2019-04-12 09:45:00+00:00,2019-04-12 11:30:00+00:00,1,40.0,1295.1594341419884,1293.2104341419883,1293.2104341419883,1299.0574341419883,-80.76000000000276,SL,7
